+ plus_sign
⋏ curly_logical_and
⋐ double_subset
⋑ double_superset
⋒ double_intersection
⋓ double_union
⋔ pitchfork
⋕ equal_and_parallel_to
⋖ less-than_with_dot
⋗ greater-than_with_dot
⋘ very_much_less-than
⋙ very_much_greater-than
⋚ less-than_equal_to_or_greater-than
⋛ greater-than_equal_to_or_less-than
⋜ equal_to_or_less-than
⋝ equal_to_or_greater-than
⋞ equal_to_or_precedes
⋟ equal_to_or_succeeds
⋠ does_not_precede_or_equal
⋡ does_not_succeed_or_equal
⋢ not_square_image_of_or_equal_to
⋣ not_square_original_of_or_equal_to
⋤ square_image_of_or_not_equal_to
⋥ square_original_of_or_not_equal_to
⋦ less-than_but_not_equivalent_to
⋧ greater-than_but_not_equivalent_to
⋨ precedes_but_not_equivalent_to
⋩ succeeds_but_not_equivalent_to
⋪ not_normal_subgroup_of
⋫ does_not_contain_as_normal_subgroup
⋬ not_normal_subgroup_of_or_equal_to
⋭ does_not_contain_as_normal_subgroup_or_equal
⋮ vertical_ellipsis
⋯ midline_horizontal_ellipsis
⋰ up_right_diagonal_ellipsis
⋱ down_right_diagonal_ellipsis
⋲ element_of_with_long_horizontal_stroke
⋳ element_of_with_vertical_bar_at_end_of_horizontal_stroke
⋴ small_element_of_with_vertical_bar_at_end_of_horizontal_stroke
⋵ element_of_with_dot_above
⋶ element_of_with_overbar
⋷ small_element_of_with_overbar
⋸ element_of_with_underbar
⋹ element_of_with_two_horizontal_strokes
⋺ contains_with_long_horizontal_stroke
⋻ contains_with_vertical_bar_at_end_of_horizontal_stroke
⋼ small_contains_with_vertical_bar_at_end_of_horizontal_stroke
⋽ contains_with_overbar
⋾ small_contains_with_overbar
⋿ z_notation_bag_membership
⌈ left_ceiling
⌉ right_ceiling
⌊ left_floor
⌋ right_floor
⌠ top_half_integral
⌡ bottom_half_integral
⍼ right_angle_with_downwards_zigzag_arrow
⎛ left_parenthesis_upper_hook
⎜ left_parenthesis_extension
⎝ left_parenthesis_lower_hook
⎞ right_parenthesis_upper_hook
⎟ right_parenthesis_extension
⎠ right_parenthesis_lower_hook
⎡ left_square_bracket_upper_corner
⎢ left_square_bracket_extension
⎣ left_square_bracket_lower_corner
⎤ right_square_bracket_upper_corner
⎥ right_square_bracket_extension
⎦ right_square_bracket_lower_corner
⎧ left_curly_bracket_upper_hook
⎨ left_curly_bracket_middle_piece
⎩ left_curly_bracket_lower_hook
⎪ curly_bracket_extension
⎫ right_curly_bracket_upper_hook
⎬ right_curly_bracket_middle_piece
⎭ right_curly_bracket_lower_hook
⎮ integral_extension
⎯ horizontal_line_extension
⎰ upper_left_or_lower_right_curly_bracket_section
⎱ upper_right_or_lower_left_curly_bracket_section
⎲ summation_top
⎳ summation_bottom
⏜ top_parenthesis
⏝ bottom_parenthesis
⏞ top_curly_bracket
⏟ bottom_curly_bracket
⏠ top_tortoise_shell_bracket
⏡ bottom_tortoise_shell_bracket
▷ white_right-pointing_triangle
◁ white_left-pointing_triangle
◸ upper_left_triangle
◹ upper_right_triangle
◺ lower_left_triangle
◻ white_medium_square
◼ black_medium_square
  white_medium_small_square
  black_medium_small_square
◿ lower_right_triangle
♯ music_sharp_sign
⟀ three_dimensional_angle
⟁ white_triangle_containing_small_white_triangle
⟂ perpendicular
⟃ open_subset
⟄ open_superset
⟇ or_with_dot_inside
⟈ reverse_solidus_preceding_subset
⟉ superset_preceding_solidus
⟊ vertical_bar_with_horizontal_stroke
⟌ long_division
⟎ squared_logical_and
⟏ squared_logical_or
⟐ white_diamond_with_centred_dot
⟑ and_with_dot
⟒ element_of_opening_upwards
⟓ lower_right_corner_with_dot
⟔ upper_left_corner_with_dot
⟕ left_outer_join
⟖ right_outer_join
⟗ full_outer_join
⟘ large_up_tack
⟙ large_down_tack
⟚ left_and_right_double_turnstile
⟛ left_and_right_tack
⟜ left_multimap
⟝ long_right_tack
⟞ long_left_tack
⟟ up_tack_with_circle_above
⟠ lozenge_divided_by_horizontal_rule
⟡ white_concave-sided_diamond
⟢ white_concave-sided_diamond_with_leftwards_tick
⟣ white_concave-sided_diamond_with_rightwards_tick
⟤ white_square_with_leftwards_tick
⟥ white_square_with_rightwards_tick
⟰ upwards_quadruple_arrow
⟱ downwards_quadruple_arrow
⟲ anticlockwise_gapped_circle_arrow
⟳ clockwise_gapped_circle_arrow
⟴ right_arrow_with_circled_plus
⟵ long_leftwards_arrow
⟶ long_rightwards_arrow
⟷ long_left_right_arrow
⟸ long_leftwards_double_arrow
⟹ long_rightwards_double_arrow
⟺ long_left_right_double_arrow
⟻ long_leftwards_arrow_from_bar
⟼ long_rightwards_arrow_from_bar
⟽ long_leftwards_double_arrow_from_bar
⟾ long_rightwards_double_arrow_from_bar
⟿ long_rightwards_squiggle_arrow
⤀ rightwards_two-headed_arrow_with_vertical_stroke
⤁ rightwards_two-headed_arrow_with_double_vertical_stroke
⤂ leftwards_double_arrow_with_vertical_stroke
⤃ rightwards_double_arrow_with_vertical_stroke
⤄ left_right_double_arrow_with_vertical_stroke
⤅ rightwards_two-headed_arrow_from_bar
⤆ leftwards_double_arrow_from_bar
⤇ rightwards_double_arrow_from_bar
⤈ downwards_arrow_with_horizontal_stroke
⤉ upwards_arrow_with_horizontal_stroke
⤊ upwards_triple_arrow
⤋ downwards_triple_arrow
⤌ leftwards_double_dash_arrow
⤍ rightwards_double_dash_arrow
⤎ leftwards_triple_dash_arrow
⤏ rightwards_triple_dash_arrow
⤐ rightwards_two-headed_triple_dash_arrow
⤑ rightwards_arrow_with_dotted_stem
⤒ upwards_arrow_to_bar
⤓ downwards_arrow_to_bar
⤔ rightwards_arrow_with_tail_with_vertical_stroke
⤕ rightwards_arrow_with_tail_with_double_vertical_stroke
⤖ rightwards_two-headed_arrow_with_tail
⤗ rightwards_two-headed_arrow_with_tail_with_vertical_stroke
⤘ rightwards_two-headed_arrow_with_tail_with_double_vertical_stroke
⤙ leftwards_arrow-tail
⤚ rightwards_arrow-tail
⤛ leftwards_double_arrow-tail
⤜ rightwards_double_arrow-tail
⤝ leftwards_arrow_to_black_diamond
⤞ rightwards_arrow_to_black_diamond
⤟ leftwards_arrow_from_bar_to_black_diamond
⤠ rightwards_arrow_from_bar_to_black_diamond
⤡ north_west_and_south_east_arrow
⤢ north_east_and_south_west_arrow
⤣ north_west_arrow_with_hook
⤤ north_east_arrow_with_hook
⤥ south_east_arrow_with_hook
⤦ south_west_arrow_with_hook
⤧ north_west_arrow_and_north_east_arrow
⤨ north_east_arrow_and_south_east_arrow
⤩ south_east_arrow_and_south_west_arrow
⤪ south_west_arrow_and_north_west_arrow
⤫ rising_diagonal_crossing_falling_diagonal
⤬ falling_diagonal_crossing_rising_diagonal
⤭ south_east_arrow_crossing_north_east_arrow
⤮ north_east_arrow_crossing_south_east_arrow
⤯ falling_diagonal_crossing_north_east_arrow
⤰ rising_diagonal_crossing_south_east_arrow
⤱ north_east_arrow_crossing_north_west_arrow
⤲ north_west_arrow_crossing_north_east_arrow
⤳ wave_arrow_pointing_directly_right
⤴ arrow_pointing_rightwards_then_curving_upwards
⤵ arrow_pointing_rightwards_then_curving_downwards
⤶ arrow_pointing_downwards_then_curving_leftwards
⤷ arrow_pointing_downwards_then_curving_rightwards
⤸ right-side_arc_clockwise_arrow
⤹ left-side_arc_anticlockwise_arrow
⤺ top_arc_anticlockwise_arrow
⤻ bottom_arc_anticlockwise_arrow
⤼ top_arc_clockwise_arrow_with_minus
⤽ top_arc_anticlockwise_arrow_with_plus
⤾ lower_right_semicircular_clockwise_arrow
⤿ lower_left_semicircular_anticlockwise_arrow
⥀ anticlockwise_closed_circle_arrow
⥁ clockwise_closed_circle_arrow
⥂ rightwards_arrow_above_short_leftwards_arrow
⥃ leftwards_arrow_above_short_rightwards_arrow
⥄ short_rightwards_arrow_above_leftwards_arrow
⥅ rightwards_arrow_with_plus_below
⥆ leftwards_arrow_with_plus_below
⥇ rightwards_arrow_through_x
⥈ left_right_arrow_through_small_circle
⥉ upwards_two-headed_arrow_from_small_circle
⥊ left_barb_up_right_barb_down_harpoon
⥋ left_barb_down_right_barb_up_harpoon
⥌ up_barb_right_down_barb_left_harpoon
⥍ up_barb_left_down_barb_right_harpoon
⥎ left_barb_up_right_barb_up_harpoon
⥏ up_barb_right_down_barb_right_harpoon
⥐ left_barb_down_right_barb_down_harpoon
⥑ up_barb_left_down_barb_left_harpoon
⥒ leftwards_harpoon_with_barb_up_to_bar
⥓ rightwards_harpoon_with_barb_up_to_bar
⥔ upwards_harpoon_with_barb_right_to_bar
⥕ downwards_harpoon_with_barb_right_to_bar
⥖ leftwards_harpoon_with_barb_down_to_bar
⥗ rightwards_harpoon_with_barb_down_to_bar
⥘ upwards_harpoon_with_barb_left_to_bar
⥙ downwards_harpoon_with_barb_left_to_bar
⥚ leftwards_harpoon_with_barb_up_from_bar
⥛ rightwards_harpoon_with_barb_up_from_bar
⥜ upwards_harpoon_with_barb_right_from_bar
⥝ downwards_harpoon_with_barb_right_from_bar
⥞ leftwards_harpoon_with_barb_down_from_bar
⥟ rightwards_harpoon_with_barb_down_from_bar
⥠ upwards_harpoon_with_barb_left_from_bar
⥡ downwards_harpoon_with_barb_left_from_bar
⥢ leftwards_harpoon_with_barb_up_above_leftwards_harpoon_with_barb_down
⥣ upwards_harpoon_with_barb_left_beside_upwards_harpoon_with_barb_right
⥤ rightwards_harpoon_with_barb_up_above_rightwards_harpoon_with_barb_down
⥥ downwards_harpoon_with_barb_left_beside_downwards_harpoon_with_barb_right
⥦ leftwards_harpoon_with_barb_up_above_rightwards_harpoon_with_barb_up
⥧ leftwards_harpoon_with_barb_down_above_rightwards_harpoon_with_barb_down
⥨ rightwards_harpoon_with_barb_up_above_leftwards_harpoon_with_barb_up
⥩ rightwards_harpoon_with_barb_down_above_leftwards_harpoon_with_barb_down
⥪ leftwards_harpoon_with_barb_up_above_long_dash
⥫ leftwards_harpoon_with_barb_down_below_long_dash
⥬ rightwards_harpoon_with_barb_up_above_long_dash
⥭ rightwards_harpoon_with_barb_down_below_long_dash
⥮ upwards_harpoon_with_barb_left_beside_downwards_harpoon_with_barb_right
⥯ downwards_harpoon_with_barb_left_beside_upwards_harpoon_with_barb_right
⥰ right_double_arrow_with_rounded_head
⥱ equals_sign_above_rightwards_arrow
⥲ tilde_operator_above_rightwards_arrow
⥳ leftwards_arrow_above_tilde_operator
⥴ rightwards_arrow_above_tilde_operator
⥵ rightwards_arrow_above_almost_equal_to
⥶ less-than_above_leftwards_arrow
⥷ leftwards_arrow_through_less-than
⥸ greater-than_above_rightwards_arrow
⥹ subset_above_rightwards_arrow
⥺ leftwards_arrow_through_subset
⥻ superset_above_leftwards_arrow
⥼ left_fish_tail
⥽ right_fish_tail
⥾ up_fish_tail
⥿ down_fish_tail
⦀ triple_vertical_bar_delimiter
⦁ z_notation_spot
⦂ z_notation_type_colon
⦙ dotted_fence
⦚ vertical_zigzag_line
⦛ measured_angle_opening_left
⦜ right_angle_variant_with_square
⦝ measured_right_angle_with_dot
⦞ angle_with_s_inside
⦟ acute_angle
⦠ spherical_angle_opening_left
⦡ spherical_angle_opening_up
⦢ turned_angle
⦣ reversed_angle
⦤ angle_with_underbar
⦥ reversed_angle_with_underbar
⦦ oblique_angle_opening_up
⦧ oblique_angle_opening_down
⦨ measured_angle_with_open_arm_ending_in_arrow_pointing_up_and_right
⦩ measured_angle_with_open_arm_ending_in_arrow_pointing_up_and_left
⦪ measured_angle_with_open_arm_ending_in_arrow_pointing_down_and_right
⦫ measured_angle_with_open_arm_ending_in_arrow_pointing_down_and_left
⦬ measured_angle_with_open_arm_ending_in_arrow_pointing_right_and_up
⦭ measured_angle_with_open_arm_ending_in_arrow_pointing_left_and_up
⦮ measured_angle_with_open_arm_ending_in_arrow_pointing_right_and_down
⦯ measured_angle_with_open_arm_ending_in_arrow_pointing_left_and_down
⦰ reversed_empty_set
⦱ empty_set_with_overbar
⦲ empty_set_with_small_circle_above
⦳ empty_set_with_right_arrow_above
⦴ empty_set_with_left_arrow_above
⦵ circle_with_horizontal_bar
⦶ circled_vertical_bar
⦷ circled_parallel
⦸ circled_reverse_solidus
⦹ circled_perpendicular
⦺ circle_divided_by_horizontal_bar_and_top_half_divided_by_vertical_bar
⦻ circle_with_superimposed_x
⦼ circled_anticlockwise-rotated_division_sign
⦽ up_arrow_through_circle
⦾ circled_white_bullet
⦿ circled_bullet
⧀ circled_less-than
⧁ circled_greater-than
⧂ circle_with_small_circle_to_the_right
⧃ circle_with_two_horizontal_strokes_to_the_right
⧄ squared_rising_diagonal_slash
⧅ squared_falling_diagonal_slash
⧆ squared_asterisk
⧇ squared_small_circle
⧈ squared_square
⧉ two_joined_squares
⧊ triangle_with_dot_above
⧋ triangle_with_underbar
⧌ s_in_triangle
⧍ triangle_with_serifs_at_bottom
⧎ right_triangle_above_left_triangle
⧏ left_triangle_beside_vertical_bar
⧐ vertical_bar_beside_right_triangle
⧑ bowtie_with_left_half_black
⧒ bowtie_with_right_half_black
⧓ black_bowtie
⧔ times_with_left_half_black
⧕ times_with_right_half_black
⧖ white_hourglass
⧗ black_hourglass
⧜ incomplete_infinity
⧝ tie_over_infinity
⧞ infinity_negated_with_vertical_bar
⧟ double-ended_multimap
⧠ square_with_contoured_outline
⧡ increases_as
⧢ shuffle_product
⧣ equals_sign_and_slanted_parallel
⧤ equals_sign_and_slanted_parallel_with_tilde_above
⧥ identical_to_and_slanted_parallel
⧦ gleich_stark
⧧ thermodynamic
⧨ down-pointing_triangle_with_left_half_black
⧩ down-pointing_triangle_with_right_half_black
⧪ black_diamond_with_down_arrow
⧫ black_lozenge
⧬ white_circle_with_down_arrow
⧭ black_circle_with_down_arrow
⧮ error-barred_white_square
⧯ error-barred_black_square
⧰ error-barred_white_diamond
⧱ error-barred_black_diamond
⧲ error-barred_white_circle
⧳ error-barred_black_circle
⧴ rule-delayed
⧵ reverse_solidus_operator
⧶ solidus_with_overbar
⧷ reverse_solidus_with_horizontal_stroke
⧸ big_solidus
⧹ big_reverse_solidus
⧺ double_plus
⧻ triple_plus
⧾ tiny
⧿ miny
⨀ n-ary_circled_dot_operator
⨁ n-ary_circled_plus_operator
⨂ n-ary_circled_times_operator
⨃ n-ary_union_operator_with_dot
⨄ n-ary_union_operator_with_plus
⨅ n-ary_square_intersection_operator
⨆ n-ary_square_union_operator
⨇ two_logical_and_operator
⨈ two_logical_or_operator
⨉ n-ary_times_operator
⨊ modulo_two_sum
⨋ summation_with_integral
⨌ quadruple_integral_operator
⨍ finite_part_integral
⨎ integral_with_double_stroke
⨏ integral_average_with_slash
⨐ circulation_function
⨑ anticlockwise_integration
⨒ line_integration_with_rectangular_path_around_pole
⨓ line_integration_with_semicircular_path_around_pole
⨔ line_integration_not_including_the_pole
⨕ integral_around_a_point_operator
⨖ quaternion_integral_operator
⨗ integral_with_leftwards_arrow_with_hook
⨘ integral_with_times_sign
⨙ integral_with_intersection
⨚ integral_with_union
⨛ integral_with_overbar
⨜ integral_with_underbar
⨝ join
⨞ large_left_triangle_operator
⨟ z_notation_schema_composition
⨠ z_notation_schema_piping
⨡ z_notation_schema_projection
⨢ plus_sign_with_small_circle_above
⨣ plus_sign_with_circumflex_accent_above
⨤ plus_sign_with_tilde_above
⨥ plus_sign_with_dot_below
⨦ plus_sign_with_tilde_below
⨧ plus_sign_with_subscript_two
⨨ plus_sign_with_black_triangle
⨩ minus_sign_with_comma_above
⨪ minus_sign_with_dot_below
⨫ minus_sign_with_falling_dots
⨬ minus_sign_with_rising_dots
⨭ plus_sign_in_left_half_circle
⨮ plus_sign_in_right_half_circle
⨯ vector_or_cross_product
⨰ multiplication_sign_with_dot_above
⨱ multiplication_sign_with_underbar
⨲ semidirect_product_with_bottom_closed
⨳ smash_product
⨴ multiplication_sign_in_left_half_circle
⨵ multiplication_sign_in_right_half_circle
⨶ circled_multiplication_sign_with_circumflex_accent
⨷ multiplication_sign_in_double_circle
⨸ circled_division_sign
⨹ plus_sign_in_triangle
⨺ minus_sign_in_triangle
⨻ multiplication_sign_in_triangle
⨼ interior_product
⨽ righthand_interior_product
⨾ z_notation_relational_composition
⨿ amalgamation_or_coproduct
⩀ intersection_with_dot
⩁ union_with_minus_sign
⩂ union_with_overbar
⩃ intersection_with_overbar
⩄ intersection_with_logical_and
⩅ union_with_logical_or
⩆ union_above_intersection
⩇ intersection_above_union
⩈ union_above_bar_above_intersection
⩉ intersection_above_bar_above_union
⩊ union_beside_and_joined_with_union
⩋ intersection_beside_and_joined_with_intersection
⩌ closed_union_with_serifs
⩍ closed_intersection_with_serifs
⩎ double_square_intersection
⩏ double_square_union
⩐ closed_union_with_serifs_and_smash_product
⩑ logical_and_with_dot_above
⩒ logical_or_with_dot_above
⩓ double_logical_and
⩔ double_logical_or
⩕ two_intersecting_logical_and
⩖ two_intersecting_logical_or
⩗ sloping_large_or
⩘ sloping_large_and
⩙ logical_or_overlapping_logical_and
⩚ logical_and_with_middle_stem
