+ plus_sign
⫒ closed_superset_or_equal_to
⫓ subset_above_superset
⫔ superset_above_subset
⫕ subset_above_subset
⫖ superset_above_superset
⫗ superset_beside_subset
⫘ superset_beside_and_joined_by_dash_with_subset
⫙ element_of_opening_downwards
⫚ pitchfork_with_tee_top
⫛ transversal_intersection
⫝̸ forking
⫝ nonforking
⫞ short_left_tack
⫟ short_down_tack
⫠ short_up_tack
⫡ perpendicular_with_s
⫢ vertical_bar_triple_right_turnstile
⫣ double_vertical_bar_left_turnstile
⫤ vertical_bar_double_left_turnstile
⫥ double_vertical_bar_double_left_turnstile
⫦ long_dash_from_left_member_of_double_vertical
⫧ short_down_tack_with_overbar
⫨ short_up_tack_with_underbar
⫩ short_up_tack_above_short_down_tack
⫪ double_down_tack
⫫ double_up_tack
⫬ double_stroke_not_sign
⫭ reversed_double_stroke_not_sign
⫮ does_not_divide_with_reversed_negation_slash
⫯ vertical_line_with_circle_above
⫰ vertical_line_with_circle_below
⫱ down_tack_with_circle_below
⫲ parallel_with_horizontal_stroke
⫳ parallel_with_tilde_operator
⫴ triple_vertical_bar_binary_relation
⫵ triple_vertical_bar_with_horizontal_stroke
⫶ triple_colon_operator
⫷ triple_nested_less-than
⫸ triple_nested_greater-than
⫹ double-line_slanted_less-than_or_equal_to
⫺ double-line_slanted_greater-than_or_equal_to
⫻ triple_solidus_binary_relation
⫼ large_triple_vertical_bar_operator
⫽ double_solidus_operator
⫾ white_vertical_bar
⫿ n-ary_white_vertical_bar
⬰ left_arrow_with_small_circle
⬱ three_leftwards_arrows
⬲ left_arrow_with_circled_plus
⬳ long_leftwards_squiggle_arrow
⬴ leftwards_two-headed_arrow_with_vertical_stroke
⬵ leftwards_two-headed_arrow_with_double_vertical_stroke
⬶ leftwards_two-headed_arrow_from_bar
⬷ leftwards_two-headed_triple_dash_arrow
⬸ leftwards_arrow_with_dotted_stem
⬹ leftwards_arrow_with_tail_with_vertical_stroke
⬺ leftwards_arrow_with_tail_with_double_vertical_stroke
⬻ leftwards_two-headed_arrow_with_tail
⬼ leftwards_two-headed_arrow_with_tail_with_vertical_stroke
⬽ leftwards_two-headed_arrow_with_tail_with_double_vertical_stroke
⬾ leftwards_arrow_through_x
⬿ wave_arrow_pointing_directly_left
⭀ equals_sign_above_leftwards_arrow
⭁ reverse_tilde_operator_above_leftwards_arrow
⭂ leftwards_arrow_above_reverse_almost_equal_to
⭃ rightwards_arrow_through_greater-than
⭄ rightwards_arrow_through_superset
⭇ reverse_tilde_operator_above_rightwards_arrow
⭈ rightwards_arrow_above_reverse_almost_equal_to
⭉ tilde_operator_above_leftwards_arrow
⭊ leftwards_arrow_above_almost_equal_to
⭋ leftwards_arrow_above_reverse_tilde_operator
⭌ rightwards_arrow_above_reverse_tilde_operator
﬩ hebrew_letter_alternative_plus_sign
  small_plus_sign
  small_less-than_sign
  small_greater-than_sign
  small_equals_sign
  fullwidth_plus_sign
  fullwidth_less-than_sign
  fullwidth_equals_sign
  fullwidth_greater-than_sign
  fullwidth_vertical_line
  fullwidth_tilde
  fullwidth_not_sign
￩ halfwidth_leftwards_arrow
￪ halfwidth_upwards_arrow
￫ halfwidth_rightwards_arrow
￬ halfwidth_downwards_arrow
𝛁 nabla
𝛛 partial_differential
𝛻 nabla
𝜕 partial_differential
𝜵 nabla
𝝏 partial_differential
𝝯 nabla
𝞉 partial_differential
𝞩 nabla
𝟃 partial_differential
